Line,Shift
0,-838
1,-838
2,-838
3,-838
4,-838
5,-838
6,-838
7,-838
8,-838
9,-838
10,-838
11,-838
12,-838
13,-838
14,-838
15,-838
16,-838
17,-838
18,-838
19,-838
20,-838
21,-838
22,-838
23,-838
24,-838
25,-838
26,-838
27,-838
28,-838
29,-838
30,-838
31,-838
32,-838
33,-838
34,-838
35,-838
36,-838
37,-838
38,-838
39,-838
40,-838
41,-369
42,-584
43,-275
44,-285
45,-498
46,-991
47,-261
48,-336
49,-558
50,-555
51,-986
52,-263
53,-578
54,-287
55,-437
56,-414
57,-306
58,-390
59,-1000
60,-286
61,-382
62,-625
63,-979
64,-246
65,-444
66,-949
67,-338
68,-312
69,-340
70,-547
71,-419
72,-964
73,-569
74,-569
75,-319
76,-256
77,-460
78,-411
79,-954
80,-446
81,-981
82,-474
83,-961
84,-945
85,-315
86,-292
87,-443
88,-343
89,-451
90,-492
91,-302
92,-983
93,-481
94,-966
95,-969
96,-290
97,-984
98,-247
99,-356
100,-459
101,-602
102,-966
103,-245
104,-935
105,-590
106,-428
107,-516
108,-892
109,-584
110,-285
111,-399
112,-456
113,-967
114,-261
115,-324
116,-542
117,-483
118,-606
119,-498
120,-484
121,-532
122,-410
123,-354
124,-918
125,-575
126,-333
127,-560
128,-440
129,-267
130,-960
131,-378
132,-300
133,-429
134,-936
135,-313
136,-937
137,-631
138,-887
139,-917
140,-434
141,-542
142,-963
143,-906
144,-518
145,-240
146,-450
147,-432
148,-316
149,-379
150,-421
151,-289
152,-603
153,-463
154,-535
155,-964
156,-367
157,-1000
158,-439
159,-505
160,-484
161,-283
162,-334
163,-340
164,-925
165,-898
166,-253
167,-307
168,-901
169,-478
170,-337
171,-973
172,-535
173,-598
174,-445
175,-439
176,-901
177,-361
178,-637
179,-493
180,-901
181,-976
182,-436
183,-643
184,-385
185,-982
186,-556
187,-958
188,-562
189,-484
190,-979
191,-640
192,-601
193,-445
194,-610
195,-319
196,-349
197,-415
198,-964
199,-361
200,-382
201,-505
202,-400
203,-628
204,-319
205,-358
206,-265
207,-616
208,-340
209,-982
210,-328
211,-304
212,-574
213,-355
214,-397
215,-406
216,-259
217,-310
218,-463
219,-952
220,-295
221,-988
222,-508
223,-964
224,-634
225,-310
226,-484
227,-307
228,-385
229,-889
230,-463
231,-466
232,-382
233,-607
234,-247
235,-589
236,-979
237,-391
238,-505
239,-421
240,-415
241,-463
242,-619
243,-574
244,-274
245,-565
246,-439
247,-286
248,-544
249,-499
250,-442
251,-934
252,-364
253,-916
254,-979
255,-646
256,-577
257,-445
258,-373
259,-631
260,-928
261,-916
262,-280
263,-418
264,-547
265,-244
266,-253
267,-412
268,-532
269,-391
270,-340
271,-466
272,-436
273,-421
274,-487
275,-238
276,-622
277,-490
278,-409
279,-271
280,-322
281,-958
282,-1000
283,-943
284,-382
285,-448
286,-364
287,-631
288,-508
289,-646
290,-556
291,-892
292,-376
293,-241
294,-544
295,-349
296,-388
297,-457
298,-406
299,-520
300,-310
301,-448
302,-568
303,-499
304,-586
305,-415
306,-310
307,-241
308,-493
309,-550
310,-580
311,-634
312,-967
313,-478
314,-550
315,-631
316,-376
317,-436
318,-619
319,-238
320,-610
321,-466
322,-394
323,-982
324,-358
325,-253
326,-523
327,-244
328,-994
329,-946
330,-499
331,-466
332,-352
333,-595
334,-367
335,-313
336,-376
337,-337
338,-502
339,-574
340,-556
341,-589
342,-988
343,-313
344,-553
345,-628
346,-322
347,-556
348,-628
349,-244
350,-484
351,-895
352,-298
353,-904
354,-361
355,-892
356,-952
357,-307
358,-541
359,-241
360,-391
361,-502
362,-571
363,-910
364,-307
365,-916
366,-970
367,-286
368,-460
369,-604
370,-907
371,-307
372,-550
373,-643
374,-616
375,-922
376,-598
377,-583
378,-595
379,-568
380,-550
381,-580
382,-382
383,-334
384,-370
385,-556
386,-919
387,-460
388,-610
389,-298
390,-298
391,-322
392,-244
393,-601
394,-898
395,-595
396,-550
397,-340
398,-493
399,-256
400,-349
401,-247
402,-559
403,-586
404,-565
405,-463
406,-262
407,-340
408,-616
409,-619
410,-301
411,-271
412,-607
413,-379
414,-535
415,-319
416,-529
417,-943
418,-235
419,-259
420,-619
421,-934
422,-985
423,-237
424,-924
425,-939
426,-459
427,-321
428,-441
429,-348
430,-267
431,-549
432,-993
433,-402
434,-975
435,-390
436,-396
437,-558
438,-447
439,-618
440,-300
441,-288
442,-483
443,-558
444,-357
445,-630
446,-552
447,-450
448,-909
449,-420
450,-981
451,-507
452,-627
453,-573
454,-378
455,-408
456,-933
457,-309
458,-921
459,-558
460,-309
461,-306
462,-333
463,-627
464,-600
465,-582
466,-516
467,-953
468,-557
469,-392
470,-389
471,-401
472,-266
473,-445
474,-598
475,-895
476,-889
477,-511
478,-949
479,-529
480,-244
481,-277
482,-943
483,-478
484,-961
485,-589
486,-337
487,-484
488,-304
489,-568
490,-352
491,-574
492,-523
493,-433
494,-481
495,-427
496,-598
497,-628
498,-367
499,-583
500,-508
501,-484
502,-415
503,-253
504,-310
505,-598
506,-256
507,-601
508,-898
509,-250
510,-319
511,-973
512,-592
513,-592
514,-583
515,-403
516,-505
517,-547
518,-472
519,-310
520,-901
521,-553
522,-280
523,-933
524,-540
525,-387
526,-894
527,-996
528,-642
529,-336
530,-372
531,-372
532,-384
533,-531
534,-411
535,-447
536,-567
537,-591
538,-975
539,-282
540,-564
541,-360
542,-381
543,-427
544,-359
545,-938
546,-443
547,-281
548,-675
549,-799
550,-799
551,-799
552,-799
553,-799
554,-799
555,-799
556,-799
557,-799
558,-799
559,-799
560,-799
561,-799
562,-799
563,-799
564,-799
565,-799
566,-799
567,-799
568,-799
569,-799
570,-799
571,-799
572,-799
573,-799
574,-799
575,-799
